Job Advertisement,Experience_Level
"AstraZeneca is offering a graduate Statistical Programmer position within their global Biometrics team. The role provides training and real-world exposure to drug development, clinical trial data programming, and statistical reporting. Responsibilities include generating analysis datasets and technical support for studies and products.

Candidates should hold a BSc or MSc in Mathematics, Statistics, Computer Science, or Life Sciences, completed in 2023–2025. Required attributes include a passion for programming, problem-solving, communication skills, and interest in pharmaceutical development. Programming knowledge in SAS or R is desirable.",Graduate
"Elanco is hiring a Platform Engineer to join their Software Engineering & Platforms team in the UK (Hook) with a hybrid working model. The role focuses on building and supporting Graduateal generative AI capabilities, designing ML systems, and contributing to platform engineering strategy. Responsibilities include working with cross-functional teams, supporting application teams, and applying MLOps principles in real-world applications.

Candidates must have 2+ years of hands-on experience with generative AI and LLMs (and 8+ years overall), proficiency in Python, ML frameworks like TensorFlow/PyTorch, and experience deploying AI solutions. Strong cloud and DevOps experience is required. Familiarity with tools like Terraform, Azure AI Studio, and AI security practices is a plus.",Senior
"Cytiva (a Danaher company) is hiring a remote Field Engineer II to support software and automation integration for instruments used in pharmaceutical GMP environments. The role involves customer issue resolution via email/phone, project management, documenting best practices, and collaborating with cross-functional teams. Occasional travel to customer sites is expected.

Applicants must have a Bachelor's or Master’s degree in Computer Science or Engineering and experience in system automation and integration. Required skills include independent problem-solving, technical English fluency, and knowledge of GAMP5, 21 CFR Part 11, or EU GMP Annex 11. Experience with Cytiva products and customer education is a plus.",Mid
"Veeva Systems is hiring Associate Business Consultants for their Business Consultant Development Program (BCDP) starting in July 2025. This entry-level role focuses on supporting pharmaceutical and biotech clients by improving go-to-market strategies and customer engagement using data and technology.

Candidates should have a university degree or equivalent experience, 0–2 years of professional experience, and strong skills in communication, problem-solving, and Microsoft Office. The role is remote but requires living within commuting distance of London. Travel may be up to 40% annually.",Graduate
"Kyowa Kirin Graduateational is hiring a finance team member to manage financial transaction input, bank reconciliations, invoice handling, accruals, fixed asset management, and monthly reporting duties. The role includes intercompany reconciliation and assisting with Graduateal and parent company reporting.

Candidates should have basic knowledge of accounts, Excel/Word proficiency, and strong administrative, communication, and organizational skills. Experience with finance software is desirable. The role requires flexibility to meet deadlines and collaborate across departments, with a willingness to learn and adapt.",Graduate
"EVERSANA is hiring a Senior Biostatistician to lead statistical projects in HEOR, including real-world evidence studies, Bayesian methods, and indirect treatment comparisons. The role involves programming in R, leading statistical analyses, writing statistical reports, mentoring junior staff, and supporting client projects across multiple locations in Europe.

Candidates should have a PhD or MSc in Biostatistics, Statistics, or Epidemiology with 5–8 years of experience in health research or market access. Strong skills in HEOR methods, R programming, team leadership, and communication are essential. The position is remote with some travel expected.",Senior
"Lonza is hiring an Analytics Technologist to support lab-based analytical testing in Slough, UK. The role involves performing assays (e.g., ELISA, SPR, cell-based), maintaining lab equipment, analyzing data, and reporting results to Graduateal teams. Candidates are expected to work to high standards, following protocols and ensuring data integrity.

Applicants should have a BSc or equivalent experience in a relevant scientific field. Experience with analytical instrumentation, data interpretation, GMP practices, and teamwork are preferred.",Junior
"A company based in Oxford is hiring a permanent hybrid DevOps Engineer. The role requires working three days a week onsite and focuses on Linux systems, automation, and cloud infrastructure. Key responsibilities include managing high-performance computing systems (SLURM), writing scripts in Python and Perl, and administering AWS cloud services.

Applicants should have advanced knowledge of Linux and Ansible, strong scripting skills (Python & Perl), and experience in cloud-based systems. Familiarity with life sciences is a plus.",Mid
"Cytel is hiring a Principal Biostatistician to work sponsor-dedicated with one of their pharmaceutical clients. The role involves leading Phase I–IV clinical trials, contributing to clinical development plans, analyzing data using advanced statistical methods (survival analysis, GLMs), and ensuring compliance with CDISC standards. The biostatistician will collaborate with clinicians and programmers and use SAS and optionally R or Python.

Applicants must have an MSc or PhD in Statistics, 8–10 years of experience in clinical trial biostatistics, strong knowledge of CDISC, and solid SAS programming skills. Experience in leadership and regulatory-compliant analysis is essential.",Senior
"Lipton Media is seeking a Data Researcher to support its premium digital intelligence platform focused on UK social housing. The role involves extracting financial data from annual reports (PDFs), inputting and validating it in databases, conducting online research, and maintaining relationships with data suppliers.

Candidates should be highly numerate and computer literate with strong Excel skills, attention to detail, and an understanding of financial or accounting terminology. Experience with Adobe Acrobat and writing about financial topics is a plus.",Mid
"Universal Music is hiring an Graduateational Audience Insights Coordinator to support global marketing strategies for UK artists. The role involves analyzing streaming, engagement, and market data to identify trends, opportunities, and audience behavior across regions. You'll collaborate with marketing and streaming teams to translate data into actionable insights.

Candidates should have strong analytical and communication skills, with experience in data analysis or market research, preferably in music or entertainment. Familiarity with streaming platforms and global music markets is important. No coding skills required.",Junior
"Admiral is seeking a Graduate Data Analyst to support their Travel Insurance team in data reporting, performance metrics, and analytics. The role involves working with Graduateal teams across pricing, claims, operations, and underwriting, as well as liaising with external IT providers. Responsibilities include improving data tools, automating reports, integrating external datasets, and using platforms like SQL, SAS, Excel, and MicroStrategy.

Candidates should be numerate, passionate about data, self-motivated, and willing to learn. A degree in a STEM or numeric discipline is desirable. Hybrid working is based in Cardiff, with office attendance twice a week.",Graduate
"Bupa is hiring a Technical and Data Analyst to support their Group Functions Governance, Risk, and Clinical domain. The role involves using data and technical analysis to improve product delivery, system configuration, data quality, and performance metrics. Responsibilities include defining user stories, conducting data analysis, developing models, performing testing, and supporting Agile product teams.

Candidates should have experience with data and technical analysis, Agile methodologies, Power BI, Azure DevOps, and stakeholder collaboration. This is a hybrid role based in London with flexible working options.",Mid
"IC24 is hiring a Speech & Text Business Intelligence Analyst to join their Business Intelligence & Analytics Team. The role involves working with speech/text analytics, AI, and machine learning to improve patient experience and agent performance. Responsibilities include dashboard development, mobile reporting, and contributing to the team’s digital transformation initiatives.

The position is based in Ashford, Kent, with hybrid remote work available. Candidates should be analytically minded, self-motivated, and eager to grow their technical skills in a healthcare environment.",Mid
"The Guardian is hiring a Full Stack Software Developer to join their in-house analytics tool team, Ophan. The role involves working with Scala, Typescript, SQL, BigQuery, and Elasticsearch in a collaborative, cross-functional environment. You’ll be building data applications used to support editorial, advertising, and reader revenue teams with real-time insights.

Candidates should have full stack development experience, preferably with Scala or similar back-end languages and Typescript. Interest in digital journalism, data-driven product thinking, and the ability to work across back-end and front-end are essential.",Mid
"Coca-Cola is hiring a Strategy Graduate to join their Ignite Graduateship Program starting October 2025. The role involves supporting strategic initiatives, conducting market and performance analysis, and collaborating across departments to drive business growth. Graduates will work 29 hours per week for 12 months and receive an Graduateship allowance.

Applicants must be pursuing a bachelor's or master’s degree in Business Administration or a related field, have the legal right to work in Spain, and be fluent in English. Skills in data analysis, strategic planning, Power BI, communication, and teamwork are essential.",Graduate
"A technology company is hiring a Junior QA Engineer for a hybrid role (3 days in-office). This is an ideal opportunity for recent graduates or candidates with 1–2 years of QA experience. The role focuses on manual and automated software testing, bug reporting, test planning, and supporting quality assurance processes.

Candidates should have a degree in Computer Science (or a related field) or equivalent QA experience, along with strong communication and problem-solving skills. Attention to detail and a collaborative attitude are essential.",Junior
"Capgemini is hiring a Data Analyst with experience in MS Dynamics and the insurance domain. The role involves analyzing complex datasets, developing dashboards using Power BI and MS Dynamics, and collaborating on data migration, integration, and reporting projects. Strong SQL skills, familiarity with data modeling, and experience in CRM/PowerApps/Dataverse are required. Experience with MS Dynamics 365, Python/R, or ETL processes is a plus.",Mid
"Monzo is hiring a Backend Engineer to join one of their cross-functional squads in Barcelona. The engineer will work on building resilient distributed systems across domains like core banking, payments, and security. Key responsibilities include collaborating with a variety of stakeholders, contributing to backend architecture (Go, Kafka, Kubernetes), and creating scalable systems. Prior experience with strongly-typed languages (e.g., Go, Java, Scala) is desired. Monzo encourages candidates from diverse backgrounds, with no formal degree required.",Mid
"MQube is hiring a Junior Developer to contribute to the development and enhancement of their FinTech software products. The role involves working closely with senior engineers and product managers to design, code, and test using languages such as Go, C#, Java, or TypeScript. MQube welcomes applicants with a passion for technology and problem-solving over specific language expertise. This role includes the opportunity to complete a Level 6 Digital & Technology Solutions apprenticeship in partnership with Leeds Beckett or Sheffield Hallam University.",Graduate
"BNY Mellon is hiring a Loans Administrator and Data Analyst to join its Corporate Trust team in Manchester. The role involves managing loan and bond portfolios, cash reconciliation, funds transfer execution, and frequent communication with external stakeholders. The successful candidate will support client services and participate in various projects, including deal closings.

Candidates should have strong Excel skills, an interest in financial services, and a proactive attitude. A finance or business-related degree is preferred but not essential.",Graduate
"Forest Research (FR) is seeking up to two Data Analysts to join the Silviculture and Timber Properties Science Group, based at the Northern Research Station in Roslin, Midlothian. This is a hybrid role with fieldwork required across the UK. The role focuses on supporting research projects investigating how forest species diversity, structure, and genetics can improve resilience to climate change.

Responsibilities include conducting fieldwork, processing dendrochronological (tree-ring) samples, building and analysing datasets, and contributing to scientific publications. The ideal candidate will have an environmental science degree, experience with R for data analysis, and an interest in forestry, ecology, or climate research. Experience in dendrochronology or remote sensing is desirable.",Junior
"Skyscanner is hiring a Software Engineer – Distributed Systems to help make travel booking more sustainable and seamless. You’ll work with technologies like Java or Python, AWS, Kubernetes, Airflow, gRPC, and Spark (prior experience in all not required). Your main focus will be designing, building, and operating distributed systems at scale, collaborating with a squad of 6–12 engineers using Agile/Lean methodologies.

Skyscanner supports hybrid working, with 8 in-office days per month on average, and perks like global work flexibility, medical insurance, and wellness benefits.",Mid
"Superdrug is hiring a Digital Analytics & SEO Executive to join their Online Business Optimisation team. This hybrid role combines performance reporting, SEO execution, and conversion analysis to enhance the digital customer experience across Superdrug’s ecommerce channels.

You’ll work with tools like SQL, BigQuery, Power BI, Google Analytics, Business Objects, and Excel, while also supporting SEO efforts in collaboration with Graduateal stakeholders and external agencies.

Key tasks include automating KPI reports, resolving site friction points, implementing SEO best practices, and surfacing actionable design insights.",Junior
"EDF is hiring for a Data Analyst – Gross Margin Analysis Platform (GMAP) role, offering a pathway to a data-driven career in the energy industry. Based in the UK with flexible hybrid working, this position will lead the analysis, design, coding, and testing of GMAP solutions, helping improve financial performance and reporting.

You’ll collaborate with stakeholders, ensure data accuracy, investigate gross margin queries, and support continuous improvements in data processes. The role offers a competitive salary from £44,800, a market-leading pension, and flexible benefits including EV leasing, health insurance, and more.",Mid
"MASS is hiring a Principal Countermeasure Development Engineer to join its Electronic Warfare Support Group (EWOS) at the St. Neots (PE19 6BN) site. This leadership role involves heading up modelling and development work on the in-house simulation software CounterWorX®, supporting projects in the defence sector related to EO, IR, and RF countermeasures.

You’ll lead a team of engineers, provide technical oversight, and contribute to innovation and delivery of advanced simulation tools. The role combines technical modelling (MATLAB, Simulink, Python), line management, and stakeholder engagement across the engineering lifecycle.",Senior
"Cervus is hiring a Full Stack Lead Software Engineer to design and deliver scalable full-stack applications for cutting-edge training and decision support tools. Based in Bristol with hybrid working (2–3 days/week in-office), this senior role blends technical leadership (mentoring, code reviews, architecture) with hands-on development—approximately 80% backend (Python, C++) and 20% frontend (React, Angular, or Vue).

Ideal candidates bring experience with cloud (AWS/Azure), DevOps (Docker, Kubernetes, CI/CD), SQL/NoSQL, and microservices. Experience with Kafka, ElasticSearch, and simulation environments is a bonus.",Lead
"BAE Systems is hiring a Senior Systems Engineer for its Rochester site, working on cutting-edge military and commercial platforms including Head-Up and Head-Worn Displays, and Flight Control Systems. The role involves complex system architecture design, model-based systems engineering, and integration of multidisciplinary subsystems. The engineer will manage requirements, guide junior engineers, and collaborate on agile and safety-critical projects using tools such as DOORS, Enterprise Architect, and Simulink.

Candidates must have proven experience in systems development, including real-time and safety-related systems involving hardware/software integration. A degree in Systems, Electronics, Physics, or a related discipline is essential. Experience with system verification, cybersecurity, and working with customers or suppliers is desirable.",Senior
"CesiumAstro is hiring a Principal Electronics Engineer I specializing in Software-Defined Radio (SDR) systems for aerospace and space-based platforms. This senior-level role involves end-to-end development of SDR modules, including architecture, schematic design, layout, testing, and delivery. The engineer will collaborate with DSP teams, lead hardware development, perform radiation-tolerant design, and support verification and validation processes. This position includes technical leadership and mentoring responsibilities and requires proficiency with FPGAs, JESD204C, high-speed ADC/DAC circuits, and PCB design using Altium.

Candidates must have a BS in Electrical Engineering and a minimum of 9 years of experience in SDR hardware design for space applications, including strong analysis skills, simulation proficiency, and lab testing experience. Strong communication and leadership skills are essential.",Lead
"Curtiss-Wright is hiring a Product Support Engineer at their Christchurch, Dorset location. The role involves providing technical support for a global customer base, developing real-time solutions with customer engineering teams, and contributing to continuous improvement efforts. The engineer will also prepare and review technical documentation, support cross-functional departments, and troubleshoot issues in electronic systems.

Ideal candidates should have strong all-round engineering skills, especially in electrical/electronics, with hands-on repair experience, the ability to read and interpret engineering drawings, and excellent communication skills. Aerospace or avionics experience is preferred but not required. Familiarity with Microsoft Office and experience in technical authoring is a plus.",Mid
"Boeing Defence UK (BDUK) is hiring a Data Exploitation Engineer to support fixed and rotary wing aircraft programmes. The role involves analysing fleet data to generate insights, enhancing performance, developing visual dashboards (Power BI/Tableau), and supporting wider data-driven engineering decisions. You'll work closely with engineering and senior stakeholders to implement KPIs, contribute to continuous process improvement, and support the growth of BDUK’s product support capabilities.

Applicants should have strong data analysis and modelling skills, experience with visualisation tools, and ideally a background in defence or aircraft maintenance (preferred, not required). Must be eligible for UK SC clearance. The role is based in the UK with no relocation or visa sponsorship provided.",Mid
"Ultra I&C’s Cyber business unit is hiring a Systems Integration, Verification & Validation Engineer (IV&V). The role involves developing IV&V strategies, test environments, and safety-secure procedures for cyber defence and cryptographic systems. The successful candidate will guide test campaigns, collaborate with Graduateal engineering teams and external test houses, contribute to process improvements, and lead or mentor junior engineers. The position includes opportunities for line or technical management and subject matter expertise.

Candidates must have an engineering degree or relevant defence industry experience, and expertise in Systems Engineering with hardware, software, and firmware integration. Experience with ISO 15288, security clearance (SC or DV), and knowledge of test automation, scripting, or environmental testing is highly desirable.",Senior
"Delkia is hiring a Functional Safety Engineer to work on safety-critical software and hardware systems for aerospace, nuclear, and defence projects. The role involves conducting hazard analysis, safety assessments, and producing documentation in line with standards like IEC 61508 and Def-Stan 00-055. The engineer will advise developers and stakeholders on safety compliance, contribute to continuous improvement, and work with model-based systems engineering and complex control systems.

The candidate should have practitioner-level experience in regulated domains, be familiar with safety management standards, and be comfortable in a dynamic, multi-stakeholder environment. Chartered status or eligibility is expected.",Senior
"Tesco is hiring a Frontend / Web Software Engineer to develop scalable, test-driven customer-facing applications using JavaScript, React, Node.js, and related technologies. Responsibilities include leading design discussions, writing secure and maintainable code, automating deployments, mentoring team members, debugging production systems, and collaborating with stakeholders. Candidates should be passionate about modern web development, familiar with TDD/CI/CD practices, and experienced in responsive design, REST APIs, and accessibility standards.",Senior
"Sweaty Betty is hiring a Customer Data Analyst to support its mission of empowering women through fitness and wellness. The analyst will transform complex customer and transactional data into strategic insights, guiding marketing, e-commerce, and product decisions. Responsibilities include developing Power BI dashboards, maintaining customer segmentation models, running customer behaviour analyses, and communicating data-driven stories to stakeholders. The ideal candidate has strong Excel, SQL, and Power BI skills (Python preferred), high numeracy, and excellent communication abilities.",Mid
"Tendam is hiring a Data Scientist to join its growing team and tackle complex problems in the retail fashion industry. The role involves data preprocessing, analysis, and developing machine learning models to drive optimization in marketing, product development, and strategy. Candidates should have Python, SQL, and PySpark skills, knowledge of machine learning techniques, and strong communication abilities. Experience with big data and cloud platforms like AWS is a plus. The position is based in Madrid, offers flexible hours, a permanent contract, and a mix of fixed and variable salary.",Junior
"McArthurGlen Group is hiring a Finance Systems Support Assistant to join its Finance team in London. This hybrid role supports finance systems like Workday Financials, Kyriba, Concur, and MRI. Key responsibilities include providing first-line support to users, assisting with system updates and documentation, and driving Graduateal expertise. Applicants should have around 2 years of experience in a systems support role, preferably within finance, and strong problem-solving, collaboration, and communication skills. The position offers flexible working, Graduateational exposure, and access to well-being and learning resources.",Junior
"Debenhams, now operating as an online-first brand under the Boohoo Group, is hiring a Full Stack Developer to help shape its ecommerce platform. This hybrid role is part of a startup-style tech team working with technologies like JavaScript, TypeScript, React, Node.js, AWS, and Next.js. Responsibilities include building full stack features, APIs, and infrastructure using IaC, while contributing to collaborative code reviews and mentoring peers. Ideal candidates have strong JavaScript/TypeScript skills, an understanding of responsive design and testing practices, and a passion for team collaboration.",Mid
"Wowcher is hiring for its Graduate AI Management Fast Track Scheme, based in Kentish Town, London (4 days/week in-office). This role is designed for a top Russell Group university graduate with a background in AI, machine learning, or data science. Responsibilities include developing and deploying AI solutions, analysing large datasets, and collaborating with teams to drive innovation and automation. Required skills include Python, SQL, Scikit-learn, TensorFlow or PyTorch, cloud platforms (AWS, Azure, GCP), and experience with MLOps and data visualisation tools. Candidates should be able to translate technical solutions into measurable business impact.",Graduate
"Sephora UK is hiring a DBA / Database Developer to manage and enhance its critical database systems. The hybrid role, based in London or Jersey, involves administration of SQL Server databases, performance tuning, database development, security compliance, and disaster recovery solutions. Candidates will collaborate with cross-functional teams to support digital and operational business needs. Preferred candidates will have experience in e-commerce or retail environments and demonstrate expertise in SQL, high-availability solutions, and performance optimization.",Senior
" Nude Project is looking for a Data Analyst Graduate to support their Finance team. The role includes assisting in the creation, design, and optimization of dashboards in Superset, collaborating with the Data Analyst to implement key metrics and transform data into clear visual insights. Candidates should be studying or have completed a degree in Data Science, Mathematics, Statistics, Computer Science, or a related field, with some knowledge of SQL and data visualization tools.",Graduate
"Shift is seeking a Senior Full Stack Developer to join their rapidly growing logistics tech company. The role involves designing and developing high-performance web applications using PHP (Laravel), JavaScript, MongoDB, and MySQL/PostgreSQL, with exposure to frameworks like React or Vue. The position offers opportunities across the full tech stack and encourages involvement in architectural discussions and technology decisions. The role is remote with some travel to Plymouth and offers a salary between £45,000 and £55,000.",Senior
"A leading Swiss trust and consulting company is looking for a CRM Business Analyst Graduate. The Graduate will help identify CRM potential across business units, assist in agile development and requirement analysis, support CRM application issues (2nd/3rd level), and help create training materials. The candidate should be pursuing or starting a degree in business/IT (ideally with a focus on Business Informatics), have analytical skills, and be fluent in German. French is a plus.",Graduate
"Deel is hiring a Junior IT Support Engineer to join its global team supporting remote and hybrid workplaces. The role involves managing a Mac and Windows device estate, working with MDM tools (e.g., Jamf, Intune), supporting application deployment, and maintaining IT security. This is an entry-level opportunity ideal for someone passionate about IT, eager to learn, and comfortable working remotely in a fast-paced tech startup environment.",Junior
"Deloitte is hiring a Workday Data Migration Consultant or Senior Consultant to join its Human Capital Consulting team. This hybrid London-based role involves leading Workday HCM data migration projects, collaborating with clients, designing and validating data strategies, and ensuring successful implementation using Workday tools. Candidates must be Workday certified with strong SQL skills and experience delivering at least one full Workday implementation. The role requires excellent communication, problem-solving, and stakeholder management skills.",Senior
"A Y Combinator-backed Series A SaaS start-up is hiring 2 Tech Leads (React + Node) to head technical squads, build scalable full-stack features (TS/Node.js, React.js), and shape the future of HR Tech. Candidates will collaborate with leadership, manage engineers, and architect robust solutions. The role offers competitive salary (£100–120K), equity, private healthcare, and a hybrid model (3 days/week in Central London).",Lead
"LHH seeks a Finance-focused BI & Automation Specialist to lead system rollouts, reporting transformation, and process automation using Power BI, Power Automate, SQL, and MicroStrategy. This 100% remote role (UK or Florida only) requires 5+ years in BI/data engineering, strong analytical skills, experience with financial modeling, and a drive for innovation. No direct reports; reports to Global Projects Director.",Senior
"ADP seeks a Business Security Analyst to support security, risk management, and business continuity across UK, Ireland, Sweden, and the Netherlands business units. The role includes consulting senior stakeholders, driving resilience and transformation, and fostering a security-first culture. Hybrid, UK-based (3 days onsite), reporting to the EMEA Senior Director.",Senior
"ADP is hiring a Lead Security Engineer to architect and enhance threat intelligence platform automation and integrations. The role involves high-impact work in software development, API integration, threat lifecycle understanding, and cybersecurity tooling. Strong Python skills, TIP/SDLC experience, and advanced threat knowledge are essential.",Lead
"Graphnet is hiring a Lead DevOps Engineer/Cloud Architect to design and implement scalable, Azure-native SaaS infrastructure in the healthcare software space. The role involves architecture design, Terraform module development, DevOps best practice leadership, and collaboration across engineering, ops, and security teams.",Lead
"Magentus is hiring an Associate Integration Engineer to configure and support the integration of healthcare systems, working with technologies like HL7v2, DICOM, and Web APIs. The role includes troubleshooting deployments, maintaining technical documentation, and contributing to continuous improvement within a collaborative DevOps/Agile team. Healthcare IT experience and knowledge of systems like Mirth are highly desirable.",Junior
"GE HealthCare is hiring a Lead System Designer to drive AI ultrasound product development from requirements to release. The role focuses on leading cross-functional design teams, ensuring regulatory compliance, managing quality risks, and developing system architecture. Ideal for candidates with software/medical device experience, project leadership skills, and knowledge of AI development and verification/validation processes.",Lead
"League is hiring a Principal Solutions Engineer to lead pre-sales engagements and design next-gen digital healthcare experiences. This role involves aligning League’s platform with customer needs, delivering impactful demos, and partnering cross-functionally to shape digital health strategies for global clients. Deep healthcare industry experience, platform solutioning, and strong communication skills are essential.",Lead
"Montu is hiring a BI & Analytics Lead to drive strategic decision-making through data across its medical cannabis e-commerce and telehealth platforms. You’ll lead a team of analysts, implement advanced analytics strategies, build scalable BI solutions, and collaborate cross-functionally to optimise operations. Requires 4+ years’ experience in data/analytics roles, strong SQL/Python/visualisation skills, and excellent stakeholder communication.",Lead
"SWISS is offering a Data Science Graduateship starting June 1, 2025, based in Zürich Kloten with hybrid working. Graduates will analyze large-scale customer datasets, support data transformation for segmentation and prediction, and lead a personal data project. Requires Python, SQL, and basic cloud/BI tool knowledge. Ideal for Bachelor’s or Master’s students in data-focused fields passionate about aviation analytics.",Graduate
"Lloyd’s Register Foundation is hiring a Junior Data Analyst to support its Global Safety Evidence Centre in London. This role focuses on storytelling with data, using tools like R, Python, or Stata to analyze global risk datasets (e.g., World Risk Poll). You'll create visualizations and communicate insights to a wide audience. Ideal for recent graduates with strong analytical skills, data language proficiency, and a passion for safety and wellbeing.",Junior
"HS2 is hiring a Graduate Business Analyst to join its two-year rotational programme based in Birmingham. This role offers a chance to gain experience across multiple IT teams—Project Delivery, Enterprise Data, Product, and Change Management. You'll learn to analyse business processes, elicit requirements, manage stakeholders, and support digital transformation projects within one of the UK’s most significant infrastructure programmes.",Graduate
"A company is hiring a Lead Software Developer – AI to design, implement, and lead development of AI-powered digital products. This role involves hands-on coding (Python, JavaScript), prototyping with OpenAI and Anthropic, applying multi-agent architectures, and integrating AI with customer experience platforms. The Lead will mentor engineers, set coding standards, drive architectural decisions, and collaborate cross-functionally to ensure scalable and secure AI solutions.",Lead
"Motorola Solutions is hiring a Junior Software Developer to join its Glasgow-based ‘Pronto’ team, the UK’s leading provider of mobile police apps. The role involves Java development for Android applications, with exposure to the full project lifecycle, including design, implementation, and testing. It’s a graduate position offering full training, career progression, and opportunities for client engagement.",Graduate
"Viasat is seeking a Product Management Graduate for Summer 2025 to support market research, product strategy, data analysis, and cross-functional collaboration. Graduates will assist with product requirements, competitive analysis, and go-to-market planning. This 12–13 week Graduateship is open to STEM students graduating between December 2025 and June 2026, offering onsite work, relocation support, and mentorship.",Graduate
"NBCUniversal is hiring a Lead Data Scientist to develop advanced recommendation and personalization models for Peacock’s streaming platform. The role involves deep learning, graph-based ML, scalable system implementation using Google Cloud Platform, and working with massive datasets. Expertise in TensorFlow, Vertex AI, Airflow, and recommender systems is required. A Master’s or PhD in a quantitative field is preferred.",Lead
"Amdocs is hiring a Cloud Solutions Manager to lead enterprise cloud transformation projects across major public cloud platforms (AWS, Azure, GCP). This is a hybrid technical-leadership role focused on designing scalable architectures, driving CI/CD adoption, and mentoring consultant teams. Hands-on experience with Terraform, Kubernetes, and cloud security is essential, along with strong stakeholder engagement skills.",Senior
"T&Pm is hiring an Innovation Director to lead AI-powered transformation across Graduateal and client initiatives. This strategic role involves shaping AI consultancy offerings, guiding audits and strategic plans, and championing generative AI adoption across the agency. You'll partner closely with leadership, pitch innovation in new business, and stay at the forefront of AI tools, ethics, and trends.",Senior
